algorithm,alpha,n_clients,partition_seed,model_seed,round,class,client_id,eval_data,precision_pre_local,recall_pre_local,f1_pre_local,precision_post_local,recall_post_local,f1_post_local,precision_post_agg,recall_post_agg,f1_post_agg,logit_margin_pre_local,logit_margin_post_local,logit_margin_post_agg,client_fedavg_weight,n_holders_this_class,holder_weight_share_this_class,global_predicted_count_this_class
fednova_sgd,0.3,15,103,22,45,MITM,4,own_client_rows,0.9794379270336471,0.26167145981504764,0.41300300341111396,0.816343747363685,0.9998450119685202,0.8988242215014978,0.979669887278583,0.3352563329831752,0.49955735748835656,-1.1697237338338873,5.771512998006681,-0.779489390786715,0.14436762193029046,3,0.20971182100364538,9724
fednova_sgd,0.3,15,103,22,45,MITM,4,validation,0.42865176437508784,0.2259020523079203,0.2958757884522077,0.22027503756451297,0.9992590946136178,0.36097691535630644,0.42245989304812837,0.30436393272579093,0.35381766504457174,-1.2716964446960435,6.048647167541861,-0.8567368811992943,0.14436762193029046,3,0.20971182100364538,9724
fednova_sgd,0.3,15,103,22,45,Manipulation,4,own_client_rows,0.7853403141361257,0.15,0.2518891687657431,0.9501039501039501,0.457,0.6171505739365294,0.4264894984997857,0.995,0.5970597059705971,-0.8476166076660157,-0.044202667236328125,1.4499895629882813,0.14436762193029046,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Manipulation,4,validation,0.8544600938967136,0.18705035971223022,0.3069139966273187,0.3650107991360691,0.3473792394655704,0.3559768299104792,0.3389414651244304,0.9938335046248715,0.505488761108207,-0.8272925569979285,-0.20810282316139275,1.3771386768933067,0.14436762193029046,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Regular,4,own_client_rows,0.6280920528451518,0.9935371358227328,0.7696368363095576,0.9999818676337262,0.8082097426578346,0.8939263773847924,0.6508598729176079,0.9922474939914415,0.7860887131885547,6.360029152042177,2.260364548794808,6.132621211906105,0.14436762193029046,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,4,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.999992612838886,0.798444034186421,0.8879246731013312,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,2.1659371675306414,6.101518222592544,0.14436762193029046,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,DoS,5,own_client_rows,0.9998522422242471,0.9998768654878589,0.9998645537044561,0.9999015020930805,1.0,0.9999507486209613,0.9998522604156407,1.0,0.999926124750671,23.488708565236664,22.22626178243363,23.750162383637885,0.15679854445468674,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,5,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9999564848458475,0.999825962103248,0.9998912192150379,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,13.840711390100507,15.539243251272651,0.15679854445468674,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,Manipulation,5,own_client_rows,0.9907407407407407,0.10764587525150905,0.19419237749546278,0.8995475113122172,1.0,0.9471176750833731,0.9535783365570599,0.9919517102615694,0.9723865877712031,-0.9656008254114531,7.928905955262827,1.4297304825044015,0.15679854445468674,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Manipulation,5,validation,0.8544600938967136,0.18705035971223022,0.3069139966273187,0.3273889636608345,1.0,0.49328263624841573,0.3389414651244304,0.9938335046248715,0.505488761108207,-0.8272925569979285,7.767165369267087,1.3771386768933067,0.15679854445468674,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Regular,5,own_client_rows,0.9479347745338385,0.992826214661132,0.9698613061430794,0.9998289678207986,0.7732399133232444,0.8720559845559845,0.9569995832128656,0.9915346220730061,0.9739610600531173,6.345772224109307,2.0023310520698794,6.1179511842070715,0.15679854445468674,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,5,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.9994450272924934,0.7754171557322418,0.87329239169786,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,1.9962715882745545,6.101518222592544,0.15679854445468674,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Video,5,own_client_rows,0.9768854295654225,0.43043466964587285,0.597568893377579,0.39793837906088614,0.9989867234794357,0.5691574397536858,0.9745426634258667,0.39585336070045984,0.5630138758014153,-0.34915625846173176,7.9649790615906495,-0.43466826544977744,0.15679854445468674,2,0.1773597033098587,4590
fednova_sgd,0.3,15,103,22,45,Video,5,validation,0.8932076197806427,0.38644688644688646,0.5394851531175547,0.18459170322481336,0.9983349983349983,0.3115735869155722,0.8956427015250544,0.3422410922410922,0.4952415371641971,-0.49878841251521916,7.874486841283717,-0.6163126424356893,0.15679854445468674,2,0.1773597033098587,4590
fednova_sgd,0.3,15,103,22,45,Regular,6,own_client_rows,1.0,0.9927444692773622,0.9963590260394656,1.0,0.9979026981504875,0.9989502482521025,1.0,0.9914974249344087,0.9957305618580595,6.377642077143661,8.29048222917527,6.150909509826548,0.05804135765319363,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,6,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.8957377569648385,0.9984664476439328,0.9443164512476082,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,8.26075686983532,6.101518222592544,0.05804135765319363,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Unauth,6,own_client_rows,0.0,0.0,0.0,0.9775112443778111,1.0,0.9886277482941622,0.9992260061919505,0.9900306748466258,0.9946070878274268,-1.3563638698835314,9.736495878067485,1.2300687450572756,0.05804135765319363,3,0.08081680946476526,2604
fednova_sgd,0.3,15,103,22,45,Unauth,6,validation,0.0,0.0,0.0,0.24411764705882352,1.0,0.39243498817966904,0.28225806451612906,0.9839357429718876,0.4386750223813787,-1.3299610132832764,9.789826787619226,1.2698019454118556,0.05804135765319363,3,0.08081680946476526,2604
fednova_sgd,0.3,15,103,22,45,DoS,7,own_client_rows,1.0,0.9999376385144535,0.9999688182849577,1.0,0.999947232589153,0.9999736155984582,1.0,0.9999424355518032,0.9999712169474614,17.925059670647407,19.443168842672765,17.994650610033244,0.09744516822766336,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,7,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,16.60204450339374,15.539243251272651,0.09744516822766336,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,Manipulation,7,own_client_rows,1.0,0.09649952696310313,0.17601380500431407,0.9906279287722587,1.0,0.995291902071563,1.0,0.9924314096499527,0.9962013295346629,-0.9645185948771582,8.366335433050496,1.410335746483636,0.09744516822766336,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Manipulation,7,validation,0.8544600938967136,0.18705035971223022,0.3069139966273187,0.32027649769585254,1.0,0.4851657940663176,0.3389414651244304,0.9938335046248715,0.505488761108207,-0.8272925569979285,8.116248072970196,1.3771386768933067,0.09744516822766336,4,0.49856473260587075,2853
fednova_sgd,0.3,15,103,22,45,Ip Spoofing,8,own_client_rows,1.0,0.5381205673758865,0.6997118155619596,1.0,1.0,1.0,1.0,0.36990248226950356,0.5400420643908752,0.4555692808002445,15.414428494500775,-0.10856363790255066,0.0020984855743069464,3,0.24641950549782757,108
fednova_sgd,0.3,15,103,22,45,Ip Spoofing,8,validation,0.6132075471698113,0.22753792298716452,0.33191489361702126,0.14826989619377162,1.0,0.25824920897996084,0.5740740740740741,0.07234539089848308,0.12849740932642487,-0.7837714570266919,11.931820668028005,-0.9300109792061698,0.0020984855743069464,3,0.24641950549782757,108
fednova_sgd,0.3,15,103,22,45,Injection,9,own_client_rows,1.0,1.0,1.0,0.9951179820992677,1.0,0.9975530179445351,0.0,0.0,0.0,1.4218642202831153,7.75523335292314,-1.1514875610052127,0.010734274613254503,3,0.042880822576579374,0
fednova_sgd,0.3,15,103,22,45,Injection,9,validation,0.29391304347826086,0.9976387249114522,0.4540569586243955,0.28547297297297297,0.9976387249114522,0.4439190964013659,0.0,0.0,0.0,1.1224246334719967,7.916707404811098,-1.6294665916469895,0.010734274613254503,3,0.042880822576579374,0
fednova_sgd,0.3,15,103,22,45,Regular,9,own_client_rows,1.0,0.9916273962574919,0.9957960993315109,1.0,0.9926339387839136,0.9963033545335568,1.0,0.9904835979320127,0.995219050245943,6.2859521281082715,6.55774787539461,6.057822669081988,0.010734274613254503,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,9,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.9203212702295411,0.9941842976035296,0.9558279390624601,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,6.608104445191355,6.101518222592544,0.010734274613254503,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,DoS,10,own_client_rows,0.9997842657845535,1.0,0.9998921212557086,0.999712375062918,1.0,0.9998561668464581,0.9998561668464581,1.0,0.999928078250863,30.15882251132849,29.648109895346327,30.491964976084297,0.04302965134071462,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,10,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9988261124758158,0.9995649052581199,0.9991953723034099,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,15.646593021216308,15.539243251272651,0.04302965134071462,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,MITM,10,own_client_rows,0.9809479553903345,0.3577844818819701,0.5243287548744443,0.7798007102348015,0.9974238161418257,0.875288168364691,0.9819304321638308,0.4420867089251212,0.6096814155155085,-0.7552621279654715,4.844546814885512,-0.393788533187964,0.04302965134071462,3,0.20971182100364538,9724
fednova_sgd,0.3,15,103,22,45,MITM,10,validation,0.42865176437508784,0.2259020523079203,0.2958757884522077,0.23841495992876224,0.9918500407497962,0.38442431116918174,0.42245989304812837,0.30436393272579093,0.35381766504457174,-1.2716964446960435,4.723126478916611,-0.8567368811992943,0.04302965134071462,3,0.20971182100364538,9724
fednova_sgd,0.3,15,103,22,45,Regular,10,own_client_rows,0.7468141416922912,0.9939326071464929,0.8528327597351548,0.9982628269433095,0.8307034510841902,0.9068077256462116,0.7700285727816629,0.9931589127557773,0.8674752360797425,6.325687361613051,2.5514456664206455,6.097865699442635,0.04302965134071462,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,10,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.9985480117013175,0.8274871564990179,0.9050051929118366,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,2.548813794026961,6.101518222592544,0.04302965134071462,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Unauth,11,own_client_rows,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.348751064265893,5.151505147893542,1.2635450007095106,0.00046090407893133504,3,0.08081680946476526,2604
fednova_sgd,0.3,15,103,22,45,Unauth,11,validation,0.0,0.0,0.0,0.2537414965986395,0.998661311914324,0.4046650393273664,0.28225806451612906,0.9839357429718876,0.4386750223813787,-1.3299610132832764,4.960486477158635,1.2698019454118556,0.00046090407893133504,3,0.08081680946476526,2604
