algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,33,36,0.4052431823474804,0.10521084361018107,False,
fedavg_sgd,0.1,30,102,33,37,0.41746790812445195,0.10389392366685479,False,
fedavg_sgd,0.1,30,102,33,38,0.39933650519671116,0.10252824276171343,False,
fedavg_sgd,0.1,30,102,33,39,0.41232617962395823,0.09964564799449982,False,
fedavg_sgd,0.1,30,102,33,40,0.4100074493515241,0.10123112560539947,False,
fedavg_sgd,0.1,30,102,33,41,0.40616001713853017,0.10175491963690549,False,
fedavg_sgd,0.1,30,102,33,42,0.42454790842263407,0.10008270317725863,False,
fedavg_sgd,0.1,30,102,33,43,0.4628117960890992,0.09873028947579017,False,
fedavg_sgd,0.1,30,102,33,44,0.42159400091325144,0.10178215026774945,False,
fedavg_sgd,0.1,30,102,33,45,0.45178890716203973,0.09999489466160677,False,
fedavg_sgd,0.1,30,102,44,1,0.17936853761675187,0.14001341145674237,False,
fedavg_sgd,0.1,30,102,44,2,0.22857438360722102,0.12871707959514317,False,
fedavg_sgd,0.1,30,102,44,3,0.25209892899307834,0.13107230493986888,False,
fedavg_sgd,0.1,30,102,44,4,0.29221695922868307,0.11602153272876518,False,
fedavg_sgd,0.1,30,102,44,5,0.36312531929177794,0.11336820356258155,False,
fedavg_sgd,0.1,30,102,44,6,0.33743964633275625,0.11131805299765324,False,
fedavg_sgd,0.1,30,102,44,7,0.3715754580470312,0.10632900306356341,False,
fedavg_sgd,0.1,30,102,44,8,0.37249632244222763,0.10199289962909527,False,
fedavg_sgd,0.1,30,102,44,9,0.3776463230678143,0.10080756597445545,False,
fedavg_sgd,0.1,30,102,44,10,0.3722936551483207,0.0981228284093126,False,
fedavg_sgd,0.1,30,102,44,11,0.3827758088781699,0.09961682873677473,False,
fedavg_sgd,0.1,30,102,44,12,0.3790384743507247,0.09793049338429095,False,
fedavg_sgd,0.1,30,102,44,13,0.38111862524420215,0.09648056326824152,False,
fedavg_sgd,0.1,30,102,44,14,0.3915645763135657,0.09385904848503125,False,
fedavg_sgd,0.1,30,102,44,15,0.38786068451152445,0.09427446738422945,False,
fedavg_sgd,0.1,30,102,44,16,0.38540667213483576,0.09656462333597089,False,
fedavg_sgd,0.1,30,102,44,17,0.38670076530127784,0.09654851933418186,False,
fedavg_sgd,0.1,30,102,44,18,0.38689219548752507,0.10066730652696637,False,
fedavg_sgd,0.1,30,102,44,19,0.3883271283075191,0.09718702854909748,False,
fedavg_sgd,0.1,30,102,44,20,0.38865404979289675,0.09919390975461972,False,
fedavg_sgd,0.1,30,102,44,21,0.38687876329803206,0.09728036465677463,False,
