# mean_recall_pre_local / mean_recall_post_local / mean_max_local_recall are LOCAL FITTING/RETENTION EVIDENCE on the holder's own training rows (own_client_rows), not independent local-generalization evidence -- they are evaluated on the same rows the client just trained on this round.
# mean_global_recall and everything downstream of it (aggregation_recall_loss, aggregation_margin_change) are NaN where class_evaluable=False: that class has zero true support in the validation split, so global recall is 0/NaN by sklearn construction regardless of what was learned locally, and is not a measurable erosion event.
anchor,algorithm,class,n_seeds,class_evaluable,mean_recall_pre_local,mean_recall_post_local,mean_max_local_recall,mean_global_recall,mean_local_learning_gain,mean_aggregation_recall_loss,median_aggregation_recall_loss,mean_aggregation_margin_change,median_aggregation_margin_change
moderate_a0.3_nc15,fedavg_sgd,Unauth,5,True,0.9838888637880576,0.9439885659039005,1.0,0.9831325301204819,-0.039900297884157124,0.016867469879518083,0.009370816599732379,-22.049716178325937,-22.478192322696156
moderate_a0.3_nc15,fedavg_sgd,Video,5,True,0.5536675644010541,0.9721253935811965,0.9995736677115987,0.47525807525807523,0.4184578291801424,0.5243155924535235,0.5386475593372145,-6.892083165085066,-7.036139826529865
moderate_a0.3_nc15,fednova_sgd,DoS,5,True,0.9998721263171971,0.9999561624486425,1.0,0.9998520677877607,8.403613144540856e-05,0.00014793221223921015,0.00013052842256400243,-15.374653916802956,-15.890092764489914
moderate_a0.3_nc15,fednova_sgd,Injection,5,True,0.9981794950581715,0.9991986148648252,1.0,0.0,0.0010191198066536566,1.0,1.0,-9.61438704631198,-9.38469994457013
moderate_a0.3_nc15,fednova_sgd,Ip Spoofing,5,True,0.5672998626591429,0.7230323145054143,0.9998670212765959,0.1255542590431738,0.15573245184627132,0.8743127622334219,0.8646441073512252,-16.32181243190603,-16.344439473706945
moderate_a0.3_nc15,fednova_sgd,MITM,5,True,0.28458278134378806,0.9047814585288935,0.9997416866142004,0.2915907238645624,0.6201986771851054,0.7081509627496378,0.6954810792427293,-6.561202115972094,-6.594603066804998
moderate_a0.3_nc15,fednova_sgd,Manipulation,5,True,0.29405893491335394,0.9142049953232624,1.0,0.8571428571428571,0.6201460604099084,0.14285714285714285,0.008221993833504637,-7.722930394081127,-7.418526847819987
moderate_a0.3_nc15,fednova_sgd,Password Cracking,5,False,0.9999887454718109,0.9999873386557873,0.9999873386557873,0.0,-1.4068160236524462e-06,,,,
moderate_a0.3_nc15,fednova_sgd,Regular,5,True,0.9929433509382708,0.9233628462078112,0.9990214223413535,0.9922178116207879,-0.06958050473045951,0.0068036107205655,0.00695354586572261,-3.0035498899350714,-3.0958372564666554
moderate_a0.3_nc15,fednova_sgd,Replay,5,True,0.7670403701014001,1.0,1.0,0.18635944700460833,0.23295962989859992,0.8136405529953917,1.0,-11.564351373154485,-11.648910142149631
moderate_a0.3_nc15,fednova_sgd,Unauth,5,True,0.00035292125206146585,0.9984222131240535,1.0,0.9855421686746988,0.9980692918719921,0.014457831325301207,0.01338688085676043,-8.477663355469463,-8.466693932655627
moderate_a0.3_nc15,fednova_sgd,Video,5,True,0.41061424831205906,0.9628148025198893,0.9996238244514106,0.31843156843156845,0.5522005542078302,0.6811922560198422,0.6874575998713928,-7.530485440333895,-7.195788988598061
