alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id,hhi,n_holders,holder_fraction,rescued
0.3,30,102,Video,0.0,0.0,0.3_30_102,0.28331498902346364,4,0.13333333333333333,False
0.3,30,103,DoS,0.0,0.0,0.3_30_103,0.16979695714951348,12,0.4,False
0.3,30,103,Injection,0.0,0.0,0.3_30_103,0.29495130738638703,4,0.13333333333333333,False
0.3,30,103,Ip Spoofing,0.0,0.0,0.3_30_103,0.2705059864601289,5,0.16666666666666666,False
0.3,30,103,MITM,0.0,0.0,0.3_30_103,0.20941048935449247,5,0.16666666666666666,False
0.3,30,103,Manipulation,1.0,0.0,0.3_30_103,0.2502406363820241,4,0.13333333333333333,True
0.3,30,103,Regular,0.0,0.0,0.3_30_103,0.16433480336847436,10,0.3333333333333333,False
0.3,30,103,Replay,1.0,0.0,0.3_30_103,0.25043120331669394,4,0.13333333333333333,True
0.3,30,103,Unauth,1.0,1.0,0.3_30_103,0.3565688070713712,3,0.1,False
0.3,30,103,Video,1.0,0.0,0.3_30_103,0.5051916432684074,3,0.1,True
1.0,10,101,DoS,0.0,0.0,1.0_10_101,0.2774375670312191,7,0.7,False
1.0,10,101,Injection,0.0,0.0,1.0_10_101,0.3390949870739162,4,0.4,False
1.0,10,101,Ip Spoofing,0.0,0.0,1.0_10_101,0.35932673352333094,3,0.3,False
1.0,10,101,MITM,0.0,0.0,1.0_10_101,0.2893182314182509,6,0.6,False
1.0,10,101,Manipulation,0.0,0.0,1.0_10_101,0.2502406363820241,4,0.4,False
1.0,10,101,Regular,0.0,0.0,1.0_10_101,0.17955718567439208,9,0.9,False
1.0,10,101,Replay,0.0,1.0,1.0_10_101,0.25043120331669394,4,0.4,False
1.0,10,101,Unauth,0.0,0.0,1.0_10_101,0.3565688070713712,3,0.3,False
1.0,10,101,Video,0.0,0.0,1.0_10_101,0.3823639815965862,3,0.3,False
1.0,10,102,DoS,0.0,0.0,1.0_10_102,0.3656011364652428,4,0.4,False
1.0,10,102,Injection,0.0,0.0,1.0_10_102,0.30730168469334695,4,0.4,False
1.0,10,102,Ip Spoofing,0.0,0.0,1.0_10_102,0.3109597504648365,5,0.5,False
1.0,10,102,MITM,0.0,0.0,1.0_10_102,0.3940883154867553,4,0.4,False
1.0,10,102,Manipulation,0.0,1.0,1.0_10_102,0.3750839547693957,3,0.3,False
1.0,10,102,Regular,0.0,0.0,1.0_10_102,0.15794987759053136,9,0.9,False
1.0,10,102,Replay,0.0,0.0,1.0_10_102,0.25043120331669394,4,0.4,False
1.0,10,102,Unauth,1.0,1.0,1.0_10_102,0.3456641683103221,4,0.4,False
1.0,10,102,Video,0.0,0.0,1.0_10_102,0.32864021578132724,4,0.4,False
1.0,10,103,DoS,0.0,0.0,1.0_10_103,0.19321876432305476,6,0.6,False
1.0,10,103,Injection,0.0,0.0,1.0_10_103,0.29495130738638703,4,0.4,False
1.0,10,103,Ip Spoofing,0.0,0.0,1.0_10_103,0.440950324026274,3,0.3,False
1.0,10,103,MITM,0.0,0.0,1.0_10_103,0.23821793179028042,6,0.6,False
1.0,10,103,Manipulation,1.0,0.0,1.0_10_103,0.2502406363820241,4,0.4,True
1.0,10,103,Regular,0.0,0.0,1.0_10_103,0.22151431690246845,9,0.9,False
1.0,10,103,Replay,0.0,0.0,1.0_10_103,0.37036636474837864,3,0.3,False
1.0,10,103,Unauth,0.0,1.0,1.0_10_103,0.4496575060267368,3,0.3,False
1.0,10,103,Video,0.0,0.0,1.0_10_103,0.3706205463964099,3,0.3,False
1.0,15,101,DoS,0.0,0.0,1.0_15_101,0.3334542534687013,6,0.4,False
1.0,15,101,Injection,0.0,1.0,1.0_15_101,0.29495130738638703,4,0.26666666666666666,False
1.0,15,101,Ip Spoofing,0.0,0.0,1.0_15_101,0.28274280151081727,5,0.3333333333333333,False
1.0,15,101,MITM,0.0,0.0,1.0_15_101,0.44876343102859184,5,0.3333333333333333,False
1.0,15,101,Manipulation,1.0,1.0,1.0_15_101,1.0,1,0.06666666666666667,False
1.0,15,101,Regular,0.0,0.0,1.0_15_101,0.1260782489887245,13,0.8666666666666667,False
1.0,15,101,Replay,0.0,0.0,1.0_15_101,0.25043120331669394,4,0.26666666666666666,False
1.0,15,101,Unauth,1.0,0.0,1.0_15_101,0.22814148586456273,5,0.3333333333333333,True
1.0,15,101,Video,0.0,0.0,1.0_15_101,0.48073743468705993,3,0.2,False
1.0,15,102,DoS,0.0,0.0,1.0_15_102,0.25244846220388384,7,0.4666666666666667,False
1.0,15,102,Injection,0.0,0.0,1.0_15_102,0.4531408325819619,3,0.2,False
1.0,15,102,Ip Spoofing,1.0,0.0,1.0_15_102,0.4746605561719577,4,0.26666666666666666,True
1.0,15,102,MITM,0.0,0.0,1.0_15_102,0.20162882698458365,7,0.4666666666666667,False
1.0,15,102,Manipulation,1.0,1.0,1.0_15_102,0.3751567111403764,3,0.2,False
1.0,15,102,Regular,0.0,0.0,1.0_15_102,0.12883112740848582,11,0.7333333333333333,False
1.0,15,102,Replay,0.0,0.0,1.0_15_102,0.25043120331669394,4,0.26666666666666666,False
1.0,15,102,Unauth,0.0,0.0,1.0_15_102,0.2521532909635473,4,0.26666666666666666,False
1.0,15,102,Video,0.0,0.0,1.0_15_102,0.21183017105876717,5,0.3333333333333333,False
1.0,15,103,DoS,0.0,0.0,1.0_15_103,0.21480115392380117,8,0.5333333333333333,False
1.0,15,103,Injection,0.0,0.0,1.0_15_103,0.39014953851449186,3,0.2,False
1.0,15,103,Ip Spoofing,1.0,0.0,1.0_15_103,0.23850634410047306,5,0.3333333333333333,True
1.0,15,103,MITM,0.0,0.0,1.0_15_103,0.5175232450896512,4,0.26666666666666666,False
1.0,15,103,Manipulation,0.0,0.0,1.0_15_103,0.2502406363820241,4,0.26666666666666666,False
1.0,15,103,Regular,0.0,0.0,1.0_15_103,0.15694006721522535,12,0.8,False
1.0,15,103,Replay,0.0,1.0,1.0_15_103,0.3721221722918605,3,0.2,False
1.0,15,103,Unauth,0.0,0.0,1.0_15_103,0.2660099057637519,4,0.26666666666666666,False
1.0,15,103,Video,0.0,0.0,1.0_15_103,0.27341359839870494,4,0.26666666666666666,False
1.0,30,101,DoS,0.0,0.0,1.0_30_101,0.14631149746431477,11,0.36666666666666664,False
1.0,30,101,Injection,1.0,1.0,1.0_30_101,0.2684068555009746,4,0.13333333333333333,False
1.0,30,101,Ip Spoofing,0.0,0.0,1.0_30_101,0.17689351976591897,7,0.23333333333333334,False
1.0,30,101,MITM,0.0,0.0,1.0_30_101,0.23895372035760373,6,0.2,False
1.0,30,101,Manipulation,1.0,0.0,1.0_30_101,0.2502406363820241,4,0.13333333333333333,True
1.0,30,101,Regular,0.0,0.0,1.0_30_101,0.12319740093080443,14,0.4666666666666667,False
1.0,30,101,Replay,0.0,0.0,1.0_30_101,0.25043120331669394,4,0.13333333333333333,False
1.0,30,101,Unauth,0.0,0.0,1.0_30_101,0.2660099057637519,4,0.13333333333333333,False
1.0,30,101,Video,1.0,0.0,1.0_30_101,0.2118301710587672,5,0.16666666666666666,True
1.0,30,102,DoS,0.0,0.0,1.0_30_102,0.16898363673617375,10,0.3333333333333333,False
1.0,30,102,Injection,0.0,0.0,1.0_30_102,0.28721047255966387,4,0.13333333333333333,False
1.0,30,102,Ip Spoofing,0.0,0.0,1.0_30_102,0.176893519765919,7,0.23333333333333334,False
