seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,10,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.2069428461833525,0.9944700460829493,0.34259406254961106,0.0,0.0,0.0,-4.503499507904053,1.6576337814331055,-4.483883380889893,6.161133289337158,-6.141517162322998,0.019616127014160156,0.16336482763290405,-0.6390020847320557,0.010454450733959675,0.20834859143758067,0.018088631331920624,0.1651328057050705,-0.7580493092536926
11,10,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.3993993993993994,0.6253918495297806,0.48747709224190594,0.0,0.0,0.0,-4.448367595672607,0.063620425760746,-4.423796653747559,4.511988021433353,-4.487417079508305,0.024570941925048828,0.11387552320957184,-0.7269572019577026,0.004041027743369341,0.20834859143758067,0.018088631331920624,0.1651328057050705,-0.7580493092536926
11,10,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.2653745806932538,0.656221198156682,0.37791932059447986,0.0,0.0,0.0,-4.503499507904053,0.10680225491523743,-4.483883380889893,4.61030176281929,-4.59068563580513,0.019616127014160156,0.11387552320957184,-0.7269572019577026,0.004041027743369341,0.20834859143758067,0.018088631331920624,0.1651328057050705,-0.7580493092536926
11,20,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.34045124053955,-2.385856866836548,-10.396602630615234,7.954594373703003,-8.010745763778687,-0.056151390075683594,0.09354371577501297,-0.932222843170166,0.0025926234666258097,0.11485827373343971,0.007042160257697105,0.1539483666419983,-0.9495055079460144
11,20,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.214311599731445,-2.3796281814575195,-10.257081985473633,7.834683418273926,-7.877453804016113,-0.0427703857421875,0.09354371577501297,-0.932222843170166,0.0025926234666258097,0.11485827373343971,0.007042160257697105,0.1539483666419983,-0.9495055079460144
11,20,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.363679885864258,-1.3143956661224365,-10.420528411865234,9.049284219741821,-9.106132745742798,-0.05684852600097656,0.11388754099607468,-0.947090208530426,0.004472400993108749,0.11485827373343971,0.007042160257697105,0.1539483666419983,-0.9495055079460144
11,20,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.214311599731445,-1.3076691627502441,-10.257081985473633,8.906642436981201,-8.949412822723389,-0.0427703857421875,0.11388754099607468,-0.947090208530426,0.004472400993108749,0.11485827373343971,0.007042160257697105,0.1539483666419983,-0.9495055079460144
11,20,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.9846153846153847,0.9944506104328524,0.9895085588072888,0.0,0.0,0.0,-5.429388523101807,0.6573306322097778,-5.3970417976379395,6.0867191553115845,-6.054372429847717,0.03234672546386719,0.10337455570697784,-0.8664906620979309,0.0034905443899333477,0.21261602513299904,0.017088323831558228,0.1571750044822693,-0.7772701382637024
11,20,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.36845730027548207,0.9861751152073732,0.5364753070945099,0.0,0.0,0.0,-5.449606895446777,0.7098916172981262,-5.422502517700195,6.159498512744904,-6.1323941349983215,0.02710437774658203,0.10337455570697784,-0.8664906620979309,0.0034905443899333477,0.21261602513299904,0.017088323831558228,0.1571750044822693,-0.7772701382637024
11,20,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.5770491803278689,0.990990990990991,0.7293825113966017,0.0,0.0,0.0,-5.435052871704102,0.8945149183273315,-5.407837867736816,6.329567790031433,-6.302352786064148,0.027215003967285156,0.15897247195243835,-0.6489828824996948,0.010173364542424679,0.21261602513299904,0.017088323831558228,0.1571750044822693,-0.7772701382637024
