seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,10,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.430365562438965,-3.7314677238464355,-13.620246887207031,9.69889783859253,-9.888779163360596,-0.1898813247680664,0.10651888698339462,-0.9212322235107422,0.002952238777652383,0.1045341759913232,0.008131909184157848,0.21148689091205597,-0.93721604347229
11,10,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.040668487548828,-3.758180856704712,-13.175738334655762,9.282487630844116,-9.41755747795105,-0.1350698471069336,0.10651888698339462,-0.9212322235107422,0.002952238777652383,0.1045341759913232,0.008131909184157848,0.21148689091205597,-0.93721604347229
11,10,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.368245124816895,-1.1221976280212402,-13.550202369689941,12.246047496795654,-12.428004741668701,-0.18195724487304688,0.13251619040966034,-0.9341880679130554,0.005203954875469208,0.1045341759913232,0.008131909184157848,0.21148689091205597,-0.93721604347229
11,10,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.040668487548828,-1.1090747117996216,-13.175738334655762,11.931593775749207,-12.06666362285614,-0.1350698471069336,0.13251619040966034,-0.9341880679130554,0.005203954875469208,0.1045341759913232,0.008131909184157848,0.21148689091205597,-0.93721604347229
11,10,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,1.0,0.7513873473917869,0.8580481622306717,0.0,0.0,0.0,-8.0224609375,0.06488487869501114,-7.871407985687256,8.087345816195011,-7.936292864382267,0.15105295181274414,0.11620884388685226,-0.8519004583358765,0.0039239064790308475,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,10,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.3721881390593047,0.6709677419354839,0.4787898717527129,0.0,0.0,0.0,-8.468329429626465,-0.008779924362897873,-8.379250526428223,8.459549505263567,-8.370470602065325,0.08907890319824219,0.11620884388685226,-0.8519004583358765,0.0039239064790308475,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,10,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.5725439167208849,0.990990990990991,0.7257731958762886,0.0,0.0,0.0,-8.175575256347656,1.6640865802764893,-8.069093704223633,9.839661836624146,-9.733180284500122,0.10648155212402344,0.19012756645679474,-0.5433034896850586,0.012167119421064854,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,10,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.21708257252992494,0.9861751152073732,0.35583638177585636,0.0,0.0,0.0,-8.468329429626465,1.7453639507293701,-8.379250526428223,10.213693380355835,-10.124614477157593,0.08907890319824219,0.19012756645679474,-0.5433034896850586,0.012167119421064854,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,10,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.219050407409668,-2.041227340698242,-8.093058586120605,6.177823066711426,-6.051831245422363,0.1259918212890625,0.12296312302350998,-0.8143026232719421,0.0043635135516524315,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,10,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.468329429626465,-1.995700478553772,-8.379250526428223,6.472628951072693,-6.383550047874451,0.08907890319824219,0.12296312302350998,-0.8143026232719421,0.0043635135516524315,0.19626186978755633,0.019889550283551216,0.18510127067565918,-0.7348580360412598
11,20,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.001668930053711,-3.82934308052063,-13.934442520141602,10.172325849533081,-10.105099439620972,0.06722640991210938,0.09655693918466568,-0.8350443243980408,0.0026761372573673725,0.11148613065488422,0.00691233342513442,0.18249112367630005,-0.9152632355690002
11,20,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.71747875213623,-3.9157814979553223,-13.58208179473877,9.801697254180908,-9.666300296783447,0.13539695739746094,0.09655693918466568,-0.8350443243980408,0.0026761372573673725,0.11148613065488422,0.00691233342513442,0.18249112367630005,-0.9152632355690002
11,20,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.020502090454102,-1.5941290855407715,-13.93524169921875,12.42637300491333,-12.341112613677979,0.08526039123535156,0.11035420745611191,-0.9338808655738831,0.0043336465023458,0.11148613065488422,0.00691233342513442,0.18249112367630005,-0.9152632355690002
11,20,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.71747875213623,-1.6521639823913574,-13.58208179473877,12.065314769744873,-11.929917812347412,0.13539695739746094,0.11035420745611191,-0.9338808655738831,0.0043336465023458,0.11148613065488422,0.00691233342513442,0.18249112367630005,-0.9152632355690002
11,20,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,1.0,0.22641509433962265,0.36923076923076925,0.0,0.0,0.0,-8.107549667358398,-0.47110843658447266,-7.912454605102539,7.636441230773926,-7.441346168518066,0.19509506225585938,0.09897905588150024,-0.8441118001937866,0.003342126030474901,0.20473677451756345,0.017210114747285843,0.17128342390060425,-0.7578417062759399
11,20,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.5817694369973191,0.2,0.29766803840877915,0.0,0.0,0.0,-8.383116722106934,-0.43663617968559265,-8.275403022766113,7.946480542421341,-7.838766843080521,0.10771369934082031,0.09897905588150024,-0.8441118001937866,0.003342126030474901,0.20473677451756345,0.017210114747285843,0.17128342390060425,-0.7578417062759399
11,20,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.701254275940707,0.6925675675675675,0.6968838526912181,0.0,0.0,0.0,-8.22240161895752,0.03466501459479332,-8.073859214782715,8.257066633552313,-8.108524229377508,0.1485424041748047,0.16430573165416718,-0.6128329634666443,0.010514664463698864,0.20473677451756345,0.017210114747285843,0.17128342390060425,-0.7578417062759399
11,20,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.43034557235421167,0.7345622119815668,0.5427306775621382,0.0,0.0,0.0,-8.383116722106934,0.06251449137926102,-8.275403022766113,8.445631213486195,-8.337917514145374,0.10771369934082031,0.16430573165416718,-0.6128329634666443,0.010514664463698864,0.20473677451756345,0.017210114747285843,0.17128342390060425,-0.7578417062759399
11,20,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.186579704284668,-2.9233622550964355,-8.018856048583984,5.263217449188232,-5.095493793487549,0.1677236557006836,0.10740376263856888,-0.7740550637245178,0.0038113684859126806,0.20473677451756345,0.017210114747285843,0.17128342390060425,-0.7578417062759399
